phenotype_id,phenotype_name,ltc_id,ltc_name,sex,ltc_type,body_system,code_type,code,description
ANXI,Anxiety disorders,GAND,Generalised anxiety ,either,mental,mental health,icd9cm,,
ANXI,Anxiety disorders,OTAX,Other specified forms of anxiety,either,mental,mental health,icd9cm,,
ANXI,Anxiety disorders,PHOB,Phobias,either,mental,mental health,icd9cm,,
ANXI,Anxiety disorders,SOMA,Somatoform disorders,either,mental,mental health,icd9cm,,
ANXI,Anxiety disorders,USAX,Unspecified anxiety-related state,either,mental,mental health,icd9cm,,
AORT,Aortopathies,AAAO,Abdominal aortic aneurysm,either,physical,cardiovascular,icd9cm,,
AORT,Aortopathies,OAAO,Other or unspecified aortic aneurysm,either,physical,cardiovascular,icd9cm,,
AORT,Aortopathies,TAAO,Thoracic aortic aneurysm,either,physical,cardiovascular,icd9cm,,
APNE,Sleep apnoea,APNE,Sleep apnoea,either,physical,respiratory,icd9cm,,
ARST,Cardiorespiratory arrest,ARST,Cardiorespiratory arrest,either,physical,cardiovascular,icd9cm,,
ARTD,Other major arterial disease,PADL,Peripheral arterial disease,either,physical,cardiovascular,icd9cm,,
ARTD,Other major arterial disease,PADM,Mesenteric arterial disease,either,physical,cardiovascular,icd9cm,,
ARTD,Other major arterial disease,PADR,Renal arterial disease,either,physical,cardiovascular,icd9cm,,
ARTD,Other major arterial disease,PADU,Unspecified arterial disease,either,physical,cardiovascular,icd9cm,,
ASTH,Asthma,ASTH,Asthma,either,physical,respiratory,icd9cm,,
AUTM,Autism spectrum disorder,AUTM,Autism spectrum disorder,either,mental,neurodevelopmental,icd9cm,,
BILI,Gallstone disease,BILI,Gallstone disease,either,physical,gastrointestinal,icd9cm,,
BIPO,Bipolar affective disorder,BIPO,Bipolar affective disorder,either,mental,mental health,icd9cm,,
BRON,Bronchiectasis,BRON,Bronchiectasis,either,physical,respiratory,icd9cm,,
CALC,Urinary calculi,CALC,Urinary calculi,either,physical,urological,icd9cm,,
CATA,Cataract,CATA,Cataract,either,physical,ophthalmological,icd9cm,,
CFTS,Chronic and post-viral fatigue syndromes,CFTS,Chronic and post-viral fatigue syndromes,either,physical,rheumatological,icd9cm,,
CHOL,Hypercholesterolaemia and lipid disorders,CHOL,Hypercholesterolaemia and lipid disorders,either,physical,metabolic,icd9cm,,
CHRO,Chromosomal aneuploidy,DOWN,Down's syndrome,either,physical,congenital,icd9cm,,
CHRO,Chromosomal aneuploidy,KLIN,Klinefelter syndrome,either,physical,congenital,icd9cm,,
CHRO,Chromosomal aneuploidy,TURN,Turner's syndrome,either,physical,congenital,icd9cm,,
CKID,Chronic kidney disease,CKDU,"Chronic kidney disease, unspecified",either,physical,renal,icd9cm,,
CKID,Chronic kidney disease,ESRD,End-stage renal disease,either,physical,renal,icd9cm,,
COAG,Coagulopathy and bleeding diathesis,COAG,Coagulopathy and bleeding diathesis,either,physical,haematological,icd9cm,,
COND,Cardiac conduction system disease ,AVNB,Atrioventricular nodal block,either,physical,cardiovascular,icd9cm,,
COND,Cardiac conduction system disease ,CIED,Presence of Cardiac Implantable Electronic Device,either,physical,cardiovascular,icd9cm,,
COND,Cardiac conduction system disease ,ECTO,Premature depolarisation and ectopy,either,physical,cardiovascular,icd9cm,,
COND,Cardiac conduction system disease ,FBBB,Fascicular and bundle branch block,either,physical,cardiovascular,icd9cm,,
COND,Cardiac conduction system disease ,OCON,Other specified     conduction system abnormalities,either,physical,cardiovascular,icd9cm,,
COND,Cardiac conduction system disease ,SAND,Sinoatrial node dysfunction,either,physical,cardiovascular,icd9cm,,
COND,Cardiac conduction system disease ,UCON,Unspecified conduction system disease and arrhythmia,either,physical,cardiovascular,icd9cm,,
CONG,Congenital heart disease,ANOM,Anomalous coronary arteries,either,physical,cardiovascular,icd9cm,,
CONG,Congenital heart disease,APVC,Anomalous pulmonary venous  connection,either,physical,cardiovascular,icd9cm,,
CONG,Congenital heart disease,ASDS,Atrial septal defects (including patent foramen ovale),either,physical,cardiovascular,icd9cm,,
CONG,Congenital heart disease,COAR,Coarctation of the aorta,either,physical,cardiovascular,icd9cm,,
CONG,Congenital heart disease,COCA,Other specified congenital cardiac conditions,either,physical,cardiovascular,icd9cm,,
CONG,Congenital heart disease,COCU,Unspecified congenital cardiac conditions,either,physical,cardiovascular,icd9cm,,
CONG,Congenital heart disease,DEXT,Dextrocardia and other cardiac malposition,either,physical,cardiovascular,icd9cm,,
CONG,Congenital heart disease,PDAR,Patent ductus arteriosus,either,physical,cardiovascular,icd9cm,,
CONG,Congenital heart disease,TETR,Tetralogy of Fallot,either,physical,cardiovascular,icd9cm,,
CONG,Congenital heart disease,TRAN,Transposition of the great vessels,either,physical,cardiovascular,icd9cm,,
CONG,Congenital heart disease,TRIA,Cor triatrium,either,physical,cardiovascular,icd9cm,,
CONG,Congenital heart disease,TRUN,Persistent truncus arteriosus,either,physical,cardiovascular,icd9cm,,
CONG,Congenital heart disease,VENT,Single ventricle defects,either,physical,cardiovascular,icd9cm,,
CONG,Congenital heart disease,VSDS,Ventricular septal defects,either,physical,cardiovascular,icd9cm,,
CONS,Chronic constipation,CONS,Chronic constipation,either,physical,gastrointestinal,icd9cm,,
COPD,Chronic obstructive pulmonary disease,COPD,Chronic obstructive pulmonary disease,either,physical,respiratory,icd9cm,,
CORO,Coronary artery disease,CORO,Coronary artery disease,either,physical,cardiovascular,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,BEHC,Beh̤et disease,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,BUER,Buerger's disease,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,EDSH,Ehlers-Danlos and hypermobility syndromes,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,EGPA,Eosinophilic granulomatosis with polyangiitis,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,FIMD,Fibromuscular dysplasia,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,GCAR,Giant cell arteritis,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,GOOD,Goodpasture's syndrome,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,GPAW,Granulomatosis with polyangiitis,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,IGAV,IgA vasculitis,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,KAWA,Kawasaki syndrome,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,LUPU,Systematic lupus erythematosus,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,MIXD,Mixed connective tissue disease,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,MYOS,Dermatomyositis and polymyositis,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,OCTD,Other connective tissue disease,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,OVAS,Other vasculitis,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,PANO,Polyarteritis nodosa,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,PMRH,Polymyalgia rheumatica,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,RAYN,Raynaud's phenomenon ,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,SJOG,Sj̦gren's syndrome,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,SYSC,Systemic sclerosis,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,TAKA,Takayasu's arteritis,either,physical,rheumatological,icd9cm,,
CTDS,Connective tissue diseases and vasculitis,UCTD,Unspecified connective tissue disease and vasculitis,either,physical,rheumatological,icd9cm,,
CYSF,Cystic fibrosis       ,CYSF,Cystic fibrosis       ,either,physical,congenital,icd9cm,,
DEFI,"Micronutrient, vitamin and mineral deficiencies",DEFI,"Micronutrient, vitamin and mineral deficiencies",either,physical,metabolic,icd9cm,,
DENT,Chronic orodental conditions,CARI,Dental caries,either,physical,dental,icd9cm,,
DENT,Chronic orodental conditions,EDEN,Edentulism,either,physical,dental,icd9cm,,
DENT,Chronic orodental conditions,PERI,Periodontal disease,either,physical,dental,icd9cm,,
DENT,Chronic orodental conditions,TMJD,Temporomandibular joint pain and dysfunction,either,physical,dental,icd9cm,,
DIAB,Diabetes mellitus,OTDM,Other specified diabetes mellitus,either,physical,endocrine,icd9cm,,
DIAB,Diabetes mellitus,T1DM,Type 1 diabetes mellitus,either,physical,endocrine,icd9cm,,
DIAB,Diabetes mellitus,T2DM,Type 2 diabetes mellitus,either,physical,endocrine,icd9cm,,
DIAB,Diabetes mellitus,UTDM,Unspecified diabetes mellitus,either,physical,endocrine,icd9cm,,
DIVT,Diverticular disease of large intestine,DIVT,Diverticular disease of large intestine,either,physical,gastrointestinal,icd9cm,,
DMNT,Dementia and chronic cognitive impairment,ALZH,Alzheimer's disease,either,mental,neurological,icd9cm,,
DMNT,Dementia and chronic cognitive impairment,FTDP,Frontotemporal dementia (Pick's disease),either,mental,neurological,icd9cm,,
DMNT,Dementia and chronic cognitive impairment,ODEM,Dementia of other specified aetiology,either,mental,neurological,icd9cm,,
DMNT,Dementia and chronic cognitive impairment,SUBD,Dementia due to substance misuse (including alcohol),either,mental,neurological,icd9cm,,
DMNT,Dementia and chronic cognitive impairment,UDEM,Dementia of unspecified aetiology,either,mental,neurological,icd9cm,,
DMNT,Dementia and chronic cognitive impairment,VASC,Vascular dementia,either,mental,neurological,icd9cm,,
DPRN,Depression and chronic affective disorders,DPRN,Depression and chronic affective disorders,either,mental,mental health,icd9cm,,
EATD,Eating disorders,EATD,Eating disorders,either,mental,mental health,icd9cm,,
ENDO,Endometriosis and adenomyosis,ENDO,Endometriosis and adenomyosis,female only,physical,gynaecological,icd9cm,,
EPIL,Epilepsy,EPIL,Epilepsy,either,physical,neurological,icd9cm,,
EREC,Erectile dysfunction,EREC,Erectile dysfunction,male only,physical,urological,icd9cm,,
FIBR,Uterine fibroids,FIBR,Uterine fibroids,female only,physical,gynaecological,icd9cm,,
FMYA,Fibromyalgia,FMYA,Fibromyalgia,either,physical,rheumatological,icd9cm,,
FPOP,Female pelvic organ prolapse,FPOP,Female pelvic organ prolapse,female only,physical,gynaecological,icd9cm,,
GLAU,Glaucoma,GLAU,Glaucoma,either,physical,ophthalmological,icd9cm,,
GOUT,Gout and other crystal arthropathies,CPPD,Calcium pyrophosphate deposition disease,either,physical,rheumatological,icd9cm,,
GOUT,Gout and other crystal arthropathies,CRYS,Other specified crystal arthropathies,either,physical,rheumatological,icd9cm,,
GOUT,Gout and other crystal arthropathies,UCRY,Unspecified crystal arthropathies,either,physical,rheumatological,icd9cm,,
GOUT,Gout and other crystal arthropathies,URIC,Gout,either,physical,rheumatological,icd9cm,,
HAEM,Haematological malignancy,HLYM,Hodgkin's lymphoma,either,physical,haematological,icd9cm,,
HAEM,Haematological malignancy,IMPD,Malignant immunoproliferative diseases,either,physical,haematological,icd9cm,,
HAEM,Haematological malignancy,LEUK,Leukaemia,either,physical,haematological,icd9cm,,
HAEM,Haematological malignancy,MYEL,Myeloma and plasma cell neoplasia,either,physical,haematological,icd9cm,,
HAEM,Haematological malignancy,NLYM,Non-Hodgkin's lymphoma,either,physical,haematological,icd9cm,,
HAEM,Haematological malignancy,OHEM,Other specified haematological malignancy,either,physical,haematological,icd9cm,,
HAEM,Haematological malignancy,UHEM,Unspecified haematological malignancy,either,physical,haematological,icd9cm,,
HARM,Self-harm and suicidal ideation,HARM,Self-harm and suicidal ideation,either,mental,mental health,icd9cm,,
HBCV,Chronic viral hepatitis,HEPB,Chronic viral hepatitis B,either,physical,infectious disease,icd9cm,,
HBCV,Chronic viral hepatitis,HEPC,Chronic viral hepatitis C,either,physical,infectious disease,icd9cm,,
HBCV,Chronic viral hepatitis,HEPU,Other and unspecified chronic viral hepatitis,either,physical,infectious disease,icd9cm,,
HEAD,Chronic (non-migrainous) headache,CLUS,Cluster headaches,either,physical,neurological,icd9cm,,
HEAD,Chronic (non-migrainous) headache,CPTH,Chronic post-traumatic headache,either,physical,neurological,icd9cm,,
HEAD,Chronic (non-migrainous) headache,IDIH,Idiopathic intracranial hypertension,either,physical,neurological,icd9cm,,
HEAD,Chronic (non-migrainous) headache,MIGR,Migraine,either,physical,neurological,icd9cm,,
HEAD,Chronic (non-migrainous) headache,OHEA,Other specified episodic or chronic headache syndrome,either,physical,neurological,icd9cm,,
HEAD,Chronic (non-migrainous) headache,TENS,Episodic or chronic tension headache,either,physical,neurological,icd9cm,,
HEAD,Chronic (non-migrainous) headache,UHEA,Unspecified episodic or chronic headache syndrome,either,physical,neurological,icd9cm,,
HERN,Abdominal wall hernia,HERN,Abdominal wall hernia,either,physical,gastrointestinal,icd9cm,,
HFCM,Heart failure and cardiomyopathy,HEFA,Heart failure,either,physical,cardiovascular,icd9cm,,
HFCM,Heart failure and cardiomyopathy,HOCM,Hypertrophic (obstructive)  cardiomyopathy,either,physical,cardiovascular,icd9cm,,
HFCM,Heart failure and cardiomyopathy,HTCM,Hypertensive cardiomyopathy,either,physical,cardiovascular,icd9cm,,
HFCM,Heart failure and cardiomyopathy,ISCM,Ischaemic cardiomyopathy,either,physical,cardiovascular,icd9cm,,
HFCM,Heart failure and cardiomyopathy,OCMP,Other specified cardiomyopathy,either,physical,cardiovascular,icd9cm,,
HFCM,Heart failure and cardiomyopathy,UCMP,Unspecified cardiomyopathy,either,physical,cardiovascular,icd9cm,,
HIAT,Hiatus and other diaphragmatic hernia,HIAT,Hiatus and other diaphragmatic hernia,either,physical,gastrointestinal,icd9cm,,
HIVA,HIV/AIDS,HIVA,HIV/AIDS,either,physical,infectious disease,icd9cm,,
HLOS,Hearing loss and deafness,HLOS,Hearing loss and deafness,either,physical,"ear, nose and throat",icd9cm,,
HPTH,Hyperparathyroidism,HPTH,Hyperparathyroidism,either,physical,endocrine,icd9cm,,
HYTN,Hypertension,HYTN,Hypertension,either,physical,cardiovascular,icd9cm,,
